Region	Average_Enormal
l-C-RMF-2	-0.021742
l-C-RMF-3	0.019319
l-C-RMF-4	-0.058459
l-C-RMF-5	-0.008154
l-C-RMF-6	-0.042559
l-C-RMF-7	-0.090244
l-C-SF-1	0.063314
l-C-SF-2	0.053568
l-C-SF-3	-0.066219
l-C-SF-4	0.045661
l-C-SF-5	0.023456
l-C-SF-6	0.073359
l-C-SF-7	0.017676
l-C-SF-8	-0.004445
l-C-SF-9	0.043151
l-C-SF-10	-0.084813
l-C-SP-1	-0.008127
l-C-SP-2	-0.029027
l-C-SP-3	0.021476
l-C-SP-4	-0.016351
l-C-SP-5	0.039376
l-C-SP-6	0.005394
l-C-SP-7	0.031528
l-C-SP-8	-0.008114
l-C-ST-1	-0.046355
l-C-ST-2	-0.050859
l-C-ST-3	-0.135957
l-C-ST-4	-0.067264
l-C-ST-5	-0.052443
l-C-SMAR-1	0.021951
l-C-SMAR-2	-0.004821
l-C-SMAR-3	-0.049215
l-C-SMAR-4	-0.021057
l-C-SMAR-5	-0.169184
l-C-INS-1	-0.202592
